Hospital,City,District
RSPI Sulianti Saroso,Jakarta Utara,Tanjung Priok
RSUP Persahabatan,Jakarta Timur,Pulo Gadung
RSPAD Gatot Soebroto,Jakarta Pusat,Senen
RSUP Fatmawati,Jakarta Selatan,Cilandak
RSU Bhayangkara Said Sukanto,Jakarta Timur,Kramat Jati
RSAL Mintohardjo,Jakarta Pusat,Tanah Abang
RSUD Cengkareng,Jakarta Barat,Cengkareng
RSUD Pasar Minggu,Jakarta Selatan,Pasar Minggu
RSKD Duren Sawit,Jakarta Timur,Duren Sawit
RS Pelni,Jakarta Barat,Palmerah
RSUD Tarakan,Jakarta Pusat,Cideng
RSUD Koja,Jakarta Utara,Koja
RSU Pertamina Jaya,Jakarta Pusat,Cempaka Putih Timur
